1000,Aleatorio,1,0.0086037
1000,Aleatorio,2,0.0080045
1000,Aleatorio,3,0.0071406
1000,Crescente,1,0.0112917
1000,Crescente,2,0.0092476
1000,Crescente,3,0.0084257
1000,Decrescente,1,0.0103778
1000,Decrescente,2,0.0105652
1000,Decrescente,3,0.0080865
10000,Aleatorio,1,0.0670672
10000,Aleatorio,2,0.0640103
10000,Aleatorio,3,0.0804766
10000,Crescente,1,0.0936047
10000,Crescente,2,0.0868734
10000,Crescente,3,0.0617885
10000,Decrescente,1,0.1010976
10000,Decrescente,2,0.1086074
10000,Decrescente,3,0.0814270
100000,Aleatorio,1,0.6284778
100000,Aleatorio,2,0.6806367
100000,Aleatorio,3,1.0840340
100000,Crescente,1,0.6778093
100000,Crescente,2,0.6231662
100000,Crescente,3,0.4622046
100000,Decrescente,1,0.6506253
100000,Decrescente,2,0.5918708
100000,Decrescente,3,0.4539511
500000,Aleatorio,1,3.2674020
500000,Aleatorio,2,3.1901040
500000,Aleatorio,3,5.3310660
500000,Crescente,1,2.9038890
500000,Crescente,2,2.7412780
500000,Crescente,3,1.9913400
500000,Decrescente,1,2.9646710
500000,Decrescente,2,2.8848320
500000,Decrescente,3,1.9765710
